hop,protocol,probe_index,ip,latitude,longitude,from,reached,rtt,stats_avg,stats_count,stats_loss,stats_max,stats_min,stats_responses
1,udp,0,10.209.64.1,31.15073,121.47711,10.209.64.1,False,108.70695114135742,103.49500179290771,2,0.0,108.70695114135742,98.28305244445801,2
1,udp,1,10.209.64.1,31.15073,121.47711,10.209.64.1,False,98.28305244445801,103.49500179290771,2,0.0,108.70695114135742,98.28305244445801,2
1,tcp,0,10.209.64.1,31.15073,121.47711,10.209.64.1,False,88.06800842285156,148.83410930633545,2,0.0,209.60021018981934,88.06800842285156,2
1,tcp,1,10.213.33.25,31.15073,121.47711,10.213.33.25,False,209.60021018981934,148.83410930633545,2,0.0,209.60021018981934,88.06800842285156,2
1,icmp,0,10.209.64.1,31.15073,121.47711,10.209.64.1,False,65.71531295776367,189.21828269958496,2,0.0,312.72125244140625,65.71531295776367,2
1,icmp,1,10.213.32.41,31.15073,121.47711,10.213.32.41,False,312.72125244140625,189.21828269958496,2,0.0,312.72125244140625,65.71531295776367,2
2,udp,0,10.213.33.33,31.15073,121.47711,10.213.33.33,False,69.96393203735352,217.31054782867432,2,0.0,364.6571636199951,69.96393203735352,2
2,udp,1,10.213.32.22,31.15073,121.47711,10.213.32.22,False,364.6571636199951,217.31054782867432,2,0.0,364.6571636199951,69.96393203735352,2
2,tcp,0,10.213.33.33,31.15073,121.47711,10.213.33.33,False,46.089887619018555,316.09952449798584,2,0.0,586.1091613769531,46.089887619018555,2
2,tcp,1,203.85.128.94,22.2875,114.212,203.85.128.94,False,586.1091613769531,316.09952449798584,2,0.0,586.1091613769531,46.089887619018555,2
2,icmp,0,10.213.33.33,31.15073,121.47711,10.213.33.33,False,21.89493179321289,371.2763786315918,2,0.0,720.6578254699707,21.89493179321289,2
2,icmp,1,202.76.18.72,22.2875,114.212,202.76.18.72,False,720.6578254699707,371.2763786315918,2,0.0,720.6578254699707,21.89493179321289,2
3,udp,0,10.213.32.41,31.15073,121.47711,10.213.32.41,False,10.027885437011719,467.556357383728,2,0.0,925.0848293304443,10.027885437011719,2
3,udp,1,202.76.18.64,22.2875,114.212,202.76.18.64,False,925.0848293304443,467.556357383728,2,0.0,925.0848293304443,10.027885437011719,2
3,tcp,0,10.213.32.41,31.15073,121.47711,10.213.32.41,False,35.349130630493164,485.3736162185669,2,0.0,935.3981018066406,35.349130630493164,2
3,tcp,1,203.131.241.129,35.6869,139.767,203.131.241.129,False,935.3981018066406,485.3736162185669,2,0.0,935.3981018066406,35.349130630493164,2
3,icmp,0,10.213.32.22,31.15073,121.47711,10.213.32.22,False,139.08004760742188,967.5540924072266,2,0.0,1796.0281372070312,139.08004760742188,2
3,icmp,1,129.250.4.142,47.6061,-122.333,129.250.4.142,False,1796.0281372070312,967.5540924072266,2,0.0,1796.0281372070312,139.08004760742188,2
4,udp,0,10.213.32.22,31.15073,121.47711,10.213.32.22,False,31.775951385498047,934.783935546875,2,0.0,1837.791919708252,31.775951385498047,2
4,udp,1,129.250.2.27,47.6061,-122.333,129.250.2.27,False,1837.791919708252,934.783935546875,2,0.0,1837.791919708252,31.775951385498047,2
4,tcp,0,10.213.32.22,31.15073,121.47711,10.213.32.22,False,19.414901733398438,1068.689465522766,2,0.0,2117.964029312134,19.414901733398438,2
4,tcp,1,32.130.106.188,32.7796,-96.7989,32.130.106.188,False,2117.964029312134,1068.689465522766,2,0.0,2117.964029312134,19.414901733398438,2
4,icmp,0,203.85.128.94,22.2875,114.212,203.85.128.94,False,214.87998962402344,1768.8454389572144,2,0.0,3322.8108882904053,214.87998962402344,2
4,icmp,1,12.207.37.1,33.7068,-117.843,12.207.37.1,True,3322.8108882904053,1768.8454389572144,2,0.0,3322.8108882904053,214.87998962402344,2
5,udp,0,203.85.128.94,22.2875,114.212,203.85.128.94,False,88.78397941589355,1737.5025749206543,2,0.0,3386.221170425415,88.78397941589355,2
5,udp,1,12.207.37.1,33.7068,-117.843,12.207.37.1,True,3386.221170425415,1737.5025749206543,2,0.0,3386.221170425415,88.78397941589355,2
5,tcp,0,203.85.128.94,22.2875,114.212,203.85.128.94,False,64.59689140319824,2761.4169120788574,2,0.0,5458.236932754517,64.59689140319824,2
5,tcp,1,12.207.37.1,33.7068,-117.843,12.207.37.1,True,5458.236932754517,2761.4169120788574,2,0.0,5458.236932754517,64.59689140319824,2
5,icmp,0,202.76.18.72,22.2875,114.212,202.76.18.72,False,199.16391372680664,199.16391372680664,1,0.0,199.16391372680664,199.16391372680664,1
6,udp,0,202.76.18.72,22.2875,114.212,202.76.18.72,False,149.56903457641602,149.56903457641602,1,0.0,149.56903457641602,149.56903457641602,1
6,tcp,0,202.76.18.72,22.2875,114.212,202.76.18.72,False,126.77979469299316,126.77979469299316,1,0.0,126.77979469299316,126.77979469299316,1
6,icmp,0,202.76.18.64,22.2875,114.212,202.76.18.64,False,355.01885414123535,355.01885414123535,1,0.0,355.01885414123535,355.01885414123535,1
7,udp,0,202.76.18.64,22.2875,114.212,202.76.18.64,False,226.9299030303955,226.9299030303955,1,0.0,226.9299030303955,226.9299030303955,1
7,tcp,0,202.76.18.64,22.2875,114.212,202.76.18.64,False,203.86695861816406,203.86695861816406,1,0.0,203.86695861816406,203.86695861816406,1
7,icmp,0,203.131.241.129,35.6869,139.767,203.131.241.129,False,214.94507789611816,214.94507789611816,1,0.0,214.94507789611816,214.94507789611816,1
8,udp,0,203.131.241.129,35.6869,139.767,203.131.241.129,False,85.37411689758301,85.37411689758301,1,0.0,85.37411689758301,85.37411689758301,1
8,tcp,0,203.131.241.129,35.6869,139.767,203.131.241.129,False,60.68301200866699,60.68301200866699,1,0.0,60.68301200866699,60.68301200866699,1
8,icmp,0,129.250.4.71,22.3089,114.264,129.250.4.71,False,188.72380256652832,188.72380256652832,1,0.0,188.72380256652832,188.72380256652832,1
9,udp,0,129.250.5.28,22.3089,114.264,129.250.5.28,False,396.12889289855957,396.12889289855957,1,0.0,396.12889289855957,396.12889289855957,1
9,tcp,0,129.250.5.28,22.3089,114.264,129.250.5.28,False,404.36720848083496,404.36720848083496,1,0.0,404.36720848083496,404.36720848083496,1
9,icmp,0,129.250.2.50,35.694,139.754,129.250.2.50,False,424.94702339172363,424.94702339172363,1,0.0,424.94702339172363,424.94702339172363,1
10,udp,0,129.250.4.142,47.6061,-122.333,129.250.4.142,False,616.340160369873,616.340160369873,1,0.0,616.340160369873,616.340160369873,1
10,tcp,0,129.250.4.142,47.6061,-122.333,129.250.4.142,False,592.3950672149658,592.3950672149658,1,0.0,592.3950672149658,592.3950672149658,1
