ip,latitude,longitude
10.209.64.1,31.15073,121.47711
10.213.33.25,31.15073,121.47711
10.213.32.41,31.15073,121.47711
10.213.32.22,31.15073,121.47711
203.85.128.94,22.2875,114.212
202.76.18.72,22.2875,114.212
202.76.18.64,22.2875,114.212
203.131.241.129,35.6869,139.767
129.250.4.71,22.3089,114.264
129.250.2.194,3.139,101.687
129.250.3.225,3.139,101.687
203.78.193.182,35.6869,139.767
58.71.241.106,3.15827,101.713
58.71.244.246,3.15827,101.713
58.71.244.245,3.15827,101.713
58.71.244.246,3.15827,101.713
58.71.244.245,3.15827,101.713
58.71.244.246,3.15827,101.713
58.71.244.245,3.15827,101.713
58.71.244.246,3.15827,101.713
