ip,latitude,longitude
10.213.33.33,0.0,0.0
142.250.58.188,37.4225,-122.085
142.250.59.28,37.4225,-122.085
10.213.32.41,0.0,0.0
180.87.168.115,22.3193,114.169
142.251.242.247,37.4225,-122.085
192.178.105.199,37.4225,-122.085
202.76.18.11,22.2875,114.212
192.178.105.255,45.5019,-73.5674
172.253.64.171,37.4225,-122.085
202.76.18.76,22.2875,114.212
180.87.160.19,22.3193,114.169
209.85.242.125,37.422,-122.084
10.213.33.25,0.0,0.0
116.0.67.86,22.3193,114.169
202.76.48.118,22.2875,114.212
108.170.238.142,37.4225,-122.085
142.251.232.168,37.4225,-122.085
142.250.225.161,37.4225,-122.085
10.213.32.21,0.0,0.0
180.87.160.214,22.3193,114.169
209.85.143.36,37.422,-122.084
142.251.242.241,37.4225,-122.085
74.125.251.11,37.4225,-122.085
209.85.142.121,37.422,-122.084
202.76.18.102,22.2875,114.212
142.250.198.78,37.4225,-122.085
10.209.64.1,0.0,0.0
