ip,latitude,longitude
10.209.64.1,31.15073,121.47711
10.213.33.33,31.15073,121.47711
10.213.32.41,31.15073,121.47711
10.213.32.22,31.15073,121.47711
203.85.128.94,22.2875,114.212
202.76.18.72,22.2875,114.212
202.76.18.64,22.2875,114.212
203.131.241.129,35.6869,139.767
129.250.5.78,37.3387,-121.885
129.250.5.227,37.3387,-121.885
154.54.43.9,37.3387,-121.885
154.54.167.141,38.894,-77.0365
154.54.167.138,38.9072,-77.0369
154.54.162.102,39.0997,-94.5786
154.54.40.250,32.2988,-90.1848
154.54.170.85,38.894,-77.0365
154.54.31.250,25.7617,-80.1918
154.24.61.218,43.6532,-79.3832
